지정별	명칭	소유자	주소	지역구분	관리자	설치연도	장애내역
문화재자료	동해 신재공 심동로 신도비	삼척심씨대종회	동해시 발한동 181-1번지	동해권	삼척심씨대종회	2019	펌웨어 수정
향토문화유산	동해향교		동해시 부곡동 254-1	동해권		2018	#3,6,9,펌웨어
향토문화유산	용산서원		동해시 쇄운동 202-1	동해권		2018	펌웨어 수정
향토문화유산	사직단		삼척시 원당동  122-11	동해권		2018	중계기,펌웨어
유형문화재	청간정	국유	고성군 토성면 청간리89-2	양양권	고성군	2019	#2,4,6,8,펌웨어
유형문화재	의상대	낙산사	양양군 강현면 전진리산5-2	양양권	낙산사	2019	9/14완료
기념물	양양 동해신묘지	양양군	양양군 양양읍 조산리 339 외	양양권	양양군	2019	9/14완료
문화재자료	인제향교	사유	인제군 인제읍 상동리 28-2	양양권	향교재단	2018	펌웨어 수정
문화재자료	간성향교	사유	고성군 간성읍 교동 664	양양권	향교재단	2018	#12,펌웨어
문화재자료	양양향교	사유	양양군 양양읍 임천리 297	양양권	향교재단	2018	펌웨어 수정
문화재자료	인제 갑둔리오층석탑외 주변탑재 일식	인제군	인제군 남면 갑둔리 산69	양양권	인제군		
문화재자료	양양 서림사지석조비로자나불좌상	국유	양양군 서면 서림리 74-1	양양권	양양군		
문화재자료	양양 서림사지삼층석탑	국유	양양군 서면 서림리 74-1	양양권	양양군		
민속문화재	고성 왕곡마을	사유	고성군 죽왕면 오봉1리	양양권		2018	#3,6,10,12,13,14,18 안테나
향토문화유산	양구향교		양구군 양구읍 상리 322	양양권		2018	펌웨어 수정
유형문화재	자규루 및 관풍헌	국유	영월군 영월읍 영흥리 984-3	영평정	영월군	2018	#8,펌위어
유형문화재	창절사	창절서원	영월군 영월읍 영흥리 1063-1	영평정	창절서원	2018	펌웨어 수정
유형문화재	탑동 삼층석탑	국유	평창군 진부면 탑동리204 	영평정	평창군	2019	보수공사중
유형문화재	영모전	국유	영월군 영월읍 영흥리1028	영평정	영월군	2018	펌웨어 수정
유형문화재	영월향교	사유	영월군 영월읍 영흥리892	영평정	향교재단	2019	#18,펌웨어
유형문화재	평창향교	사유	평창군 평창읍 하리204	영평정	향교재단	2018	펌웨어 수정
기념물	대관령 성황사 및 산신각	김옥분	평창군 도암면 횡계리 14-256	영평정	강릉시	2019	#1,#2,#3,#10,#11,#12,펌
